respondent_id,factor_type,factor_name,factor_rank_in_answer
1,choose,Команда и корпоративная культура,1
1,choose,Нахождение офиса компании,2
1,choose,Интересные задачи / проекты,3
2,choose,Личный бренд основателя / руководителя компании,1
2,choose,Команда и корпоративная культура,2
2,choose,Интересные задачи / проекты,3
3,choose,Интересные задачи / проекты,1
3,choose,Репутация компании на рынке,2
3,choose,Команда и корпоративная культура,3
4,choose,Удаленный / гибридный формат работы,1
4,choose,Баланс работы и личной жизни,2
4,choose,Моё профессиональное развитие,3
5,choose,Удаленный / гибридный формат работы,1
5,choose,Репутация компании на рынке,2
5,choose,Стабильность компании (финансовая устойчивость),3
6,choose,Баланс работы и личной жизни,1
6,choose,Моё профессиональное развитие,2
6,choose,Удаленный / гибридный формат работы,3
7,choose,Репутация компании на рынке,1
7,choose,Моё профессиональное развитие,2
7,choose,Команда и корпоративная культура,3
8,choose,Баланс работы и личной жизни,1
8,choose,Команда и корпоративная культура,2
8,choose,Интересные задачи / проекты,3
9,choose,Интересные задачи / проекты,1
9,choose,Стабильность компании (финансовая устойчивость),2
9,choose,Команда и корпоративная культура,3
10,choose,Баланс работы и личной жизни,1
10,choose,Стабильность компании (финансовая устойчивость),2
10,choose,Команда и корпоративная культура,3
11,choose,Команда и корпоративная культура,1
11,choose,Моё профессиональное развитие,2
11,choose,Интересные задачи / проекты,3
12,choose,Стабильность компании (финансовая устойчивость),1
12,choose,Удаленный / гибридный формат работы,2
12,choose,Команда и корпоративная культура,3
13,choose,Интересные задачи / проекты,1
13,choose,Команда и корпоративная культура,2
13,choose,Стабильность компании (финансовая устойчивость),3
14,choose,Интересные задачи / проекты,1
14,choose,Команда и корпоративная культура,2
14,choose,Удаленный / гибридный формат работы,3
15,choose,Баланс работы и личной жизни,1
15,choose,Нахождение офиса компании,2
15,choose,Стабильность компании (финансовая устойчивость),3
16,choose,Репутация компании на рынке,1
16,choose,Интересные задачи / проекты,2
16,choose,Удаленный / гибридный формат работы,3
17,choose,Интересные задачи / проекты,1
17,choose,Удаленный / гибридный формат работы,2
17,choose,Моё профессиональное развитие,3
18,choose,Удаленный / гибридный формат работы,1
18,choose,Команда и корпоративная культура,2
18,choose,Нахождение офиса компании,3
19,choose,Стабильность компании (финансовая устойчивость),1
19,choose,Репутация компании на рынке,2
19,choose,Моё профессиональное развитие,3
20,choose,Стабильность компании (финансовая устойчивость),1
20,choose,Моё профессиональное развитие,2
20,choose,Баланс работы и личной жизни,3
21,choose,Стабильность компании (финансовая устойчивость),1
21,choose,Удаленный / гибридный формат работы,2
21,choose,Интересные задачи / проекты,3
22,choose,Удаленный / гибридный формат работы,1
22,choose,Стабильность компании (финансовая устойчивость),2
22,choose,Баланс работы и личной жизни,3
23,choose,Команда и корпоративная культура,1
23,choose,Баланс работы и личной жизни,2
23,choose,Цифровые продукт компании,3
24,choose,Репутация компании на рынке,1
24,choose,Баланс работы и личной жизни,2
24,choose,Команда и корпоративная культура,3
25,choose,Баланс работы и личной жизни,1
25,choose,Репутация компании на рынке,2
25,choose,Стабильность компании (финансовая устойчивость),3
26,choose,Моё профессиональное развитие,1
26,choose,Стабильность компании (финансовая устойчивость),2
26,choose,Команда и корпоративная культура,3
27,choose,Баланс работы и личной жизни,1
27,choose,Команда и корпоративная культура,2
27,choose,Стабильность компании (финансовая устойчивость),3
28,choose,Моё профессиональное развитие,1
28,choose,Интересные задачи / проекты,2
28,choose,Команда и корпоративная культура,3
29,choose,Удаленный / гибридный формат работы,1
29,choose,Моё профессиональное развитие,2
29,choose,Баланс работы и личной жизни,3
30,choose,Интересные задачи / проекты,1
30,choose,Команда и корпоративная культура,2
30,choose,Баланс работы и личной жизни,3
31,choose,Репутация компании на рынке,1
31,choose,Интересные задачи / проекты,2
31,choose,Нахождение офиса компании,3
32,choose,Моё профессиональное развитие,1
32,choose,Репутация компании на рынке,2
32,choose,Удаленный / гибридный формат работы,3
33,choose,Команда и корпоративная культура,1
33,choose,Моё профессиональное развитие,2
33,choose,Удаленный / гибридный формат работы,3
34,choose,Удаленный / гибридный формат работы,1
34,choose,Интересные задачи / проекты,2
34,choose,Цифровые продукт компании,3
35,choose,Моё профессиональное развитие,1
35,choose,Интересные задачи / проекты,2
35,choose,Команда и корпоративная культура,3
36,choose,Интересные задачи / проекты,1
36,choose,Репутация компании на рынке,2
36,choose,Стабильность компании (финансовая устойчивость),3
37,choose,Моё профессиональное развитие,1
37,choose,Стабильность компании (финансовая устойчивость),2
37,choose,Интересные задачи / проекты,3
38,choose,Баланс работы и личной жизни,1
38,choose,Стабильность компании (финансовая устойчивость),2
38,choose,Нахождение офиса компании,3
39,choose,Стабильность компании (финансовая устойчивость),1
39,choose,Нахождение офиса компании,2
39,choose,Команда и корпоративная культура,3
40,choose,Стабильность компании (финансовая устойчивость),1
40,choose,Моё профессиональное развитие,2
40,choose,Интересные задачи / проекты,3
41,choose,Репутация компании на рынке,1
41,choose,Интересные задачи / проекты,2
41,choose,Команда и корпоративная культура,3
42,choose,Команда и корпоративная культура,1
42,choose,Баланс работы и личной жизни,2
42,choose,Интересные задачи / проекты,3
43,choose,Стабильность компании (финансовая устойчивость),1
43,choose,Команда и корпоративная культура,2
43,choose,Удаленный / гибридный формат работы,3
44,choose,Стабильность компании (финансовая устойчивость),1
44,choose,Баланс работы и личной жизни,2
44,choose,Репутация компании на рынке,3
45,choose,Удаленный / гибридный формат работы,1
45,choose,Стабильность компании (финансовая устойчивость),2
45,choose,Баланс работы и личной жизни,3
46,choose,Нахождение офиса компании,1
46,choose,Интересные задачи / проекты,2
46,choose,Удаленный / гибридный формат работы,3
47,choose,Интересные задачи / проекты,1
